丰盟智创样衣成衣跟踪表,,,,,,,,,
序号,日期,类别,款号,图片,件数,成分,克重,幅宽,备注
1,2025-11-07 00:00:00,摇粒绒,FM0301000268-1,"=_xlfn.DISPIMG(""ID_822DC51281AD43DB9D3E0844D075A93E"",1)",1,100%Polyester,350,160,
2,2025-11-07 00:00:00,摇粒绒,FM0301000268-2,"=_xlfn.DISPIMG(""ID_8EFB9D4375014AC3A04CDD393D2DAC7B"",1)",1,100%Polyester,350,160,
3,2025-11-07 00:00:00,摇粒绒,FM0301000274,"=_xlfn.DISPIMG(""ID_A9B94B4FA76C491091237E6AAB7FB160"",1)",1,100%Polyester,350,160,
4,2025-11-07 00:00:00,摇粒绒,FM0301000275,"=_xlfn.DISPIMG(""ID_A52E74DE01F540C396B45CF4087E0C5B"",1)",1,100%Polyester,350,160,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
类别,款式分类,款号,成分,幅宽/克重,颜色,照片,备注,,
摇粒绒,短款,FM0301000266,,175/345,,"=_xlfn.DISPIMG(""ID_E7E30CC332FE4884A858BA41316AC3A2"",1)",,,
摇粒绒,短款,FM0301000269,,175/350,,"=_xlfn.DISPIMG(""ID_F4B2CEADE03140F3AC285DA268FC022D"",1)",,,
摇粒绒,短款,FM0301000270,,175/345,,"=_xlfn.DISPIMG(""ID_D0881C0D58BE4DF1B10C2596B851514B"",1)",,,
摇粒绒,短款,FM0301000271,,175/355,,"=_xlfn.DISPIMG(""ID_380EBDC538E24785BAEF1937EB2B902E"",1)",,,
